name,location,price,area,time,link_url,total_price,price_per_square,Dien_Tich,Mat_Tien
"ĐẤT NỀN ĐẸP TẠI CỔ ĐÔNG, ĐƯỜNG TRƯỚC ĐẤT HƠN 8m, GIÁ CHỈ 3.x TỶ. LIÊN HỆ NGAY: E HƯỜNG 0976 232 ***","Xã Cổ Đông, Sơn Tây, Hà Nội",30 triệu/m² ~3 tỷ,100 m² Mặt tiền 5.8 m,2025,"https://batdongsan.com.vn/ban-dat-xa-co-dong/-nen-dep-tai-duong-truoc-hon-8m-gia-chi-3-x-ty-lien-he-ngay-e-huong-pr44294299
",3 tỷ,30 triệu/m² ,100 m²,5.8 m
"Bán đất nền tại Đường Phú Cát, Hòa Thạch, Quốc Oai, Hà Nội, giá siêu hời 22 triệu / m2, 100m2","Đường Phú Cát, Xã Hòa Thạch, Quốc Oai, Hà Nội","22 triệu/m² ~2,2 tỷ",100 m² Mặt tiền 9 m,2025,"https://batdongsan.com.vn/ban-dat-duong-phu-cat-xa-hoa-thach/ban-nen-tai-quoc-oai-ha-noi-gia-sieu-hoi-22-trieu-m2-100m2-pr44294051
","2,2 tỷ",22 triệu/m² ,100 m²,9 m
"Quỹ căn đầu tư giá rẻ phân khu Sapphire, Zenpark, Masteri, Zurich, Beverly,LD,PR Vinhomes OceanPark","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,9 tỷ ~67,44 triệu/m²",43 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-chu-dau-tu-1pn-3pn-tot-vinmes-oceanpark-phan-khu-sapphire-zenpark-masteri-pr43712145
","2,9 tỷ ","67,44 triệu/m²",43 m²,
"2.9tỷ/100m2 full thổ cư sổ đỏ, trục chính Cổ Đông, gần chợ QL21, CNC Hoà Lạc,DHQG,2 oto tránh nhau","Xã Cổ Đông, Sơn Tây, Hà Nội","29 triệu/m² ~2,9 tỷ",100 m² Mặt tiền 6 m,2025,"https://batdongsan.com.vn/ban-dat-xa-co-dong/sieupham-40-lo-truc-chinh-gan-ql21-cnc-hoa-lac-gia-chi-tu-2-8ty-full-thocu-sodo-mat-tien-6m-pr44215674
","2,9 tỷ",29 triệu/m² ,100 m²,6 m
Tôi Chủ Nhà Bán 08 căn :STU-1PN+ 2PN+3PN đi nước ngoài-Sẵn Nội Thất-HD thuê 9.5tr-Vinhome SMARTCITY,"Vinhomes Smart City , Tây Mỗ, Nam Từ Liêm, Hà Nội","2,37 tỷ ~84,64 triệu/m²",28 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/cty-cp-ban-quy-t10-stu-2-2ty-1pn-2-8ty-1pn-3ty-2pn1-4ty-2pn-4ty6-3pn-5-3ty-city-pr44249887
","2,37 tỷ ","84,64 triệu/m²",28 m²,
"Cạnh Đại Học Quốc Gia Hà Nội, FPT cách công nghệ cao Hòa Lạc 500m, giá 3tỷ DT 110m gần quốc lộ 21.","Xã Thạch Hòa, Thạch Thất, Hà Nội","3 tỷ ~27,27 triệu/m²",110 m² Mặt tiền 7 m,2025,"https://batdongsan.com.vn/ban-dat-xa-thach-hoa-1/canh-dai-hoc-quoc-gia-ha-noi-dai-hoc-fpt-cach-cong-nghe-cao-lac-500m-dt-110m-gan-quoc-lo-21-pr43794066
",3 tỷ ,"27,27 triệu/m²",110 m²,7 m
"Bán gấp đất nền 100m2, 2,3 tỷ tại Xã Phú Cát, Quốc Oai, Hà Nội","Xã Phú Cát, Quốc Oai, Hà Nội","2,3 tỷ ~23 triệu/m²",100 m² Mặt tiền 8 m,2025,"https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/ban-gap-nen-100m2-2-3-ty-tai-quoc-oai-ha-noi-pr44281452
","2,3 tỷ ",23 triệu/m²,100 m²,8 m
"Hàng F0 chính chủ 2 tỷ/100m2 full thổ cư sổ đỏ CNC Hoà Lạc, MT 6m, oto tránh nhau, gần chợ, QL21","Xã Phú Cát, Quốc Oai, Hà Nội",20 triệu/m² ~2 tỷ,100 m²,13/10/2025,"https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/hang-f0-chinh-chu-2ty-100m2-full-tho-cu-so-do-cnc-hoalac-tien-6m-gan-cho-ql21-trung-tam-hanh-chinh-pr44255749
",2 tỷ,20 triệu/m² ,100 m²,
"Ban quản lý dự án Vinhomes quỹ căn tháng 10 chính chủ studio 1PN 2PN 3PN, miễn phí trung gian","Dự án Vinhomes Ocean Park Gia Lâm, Đường An Đào, Xã Dương Xá, Gia Lâm, Hà Nội","2,75 tỷ ~63,95 triệu/m²",43 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-an-dao-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/b-qu-ly-du-quy-thg-8-chinh-chu-studio-1pn-2pn-3pn-mien-phi-trung-gi-pr43844963
","2,75 tỷ ","63,95 triệu/m²",43 m²,
"Chính chủ cần bán: Studio 1,63 tỷ, 1PN 2,9 tỷ. 2PN 3,9tỷ. 3PN 5,1tỷ tại Vinhomes Smart City","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,43 tỷ ~75,94 triệu/m²",32 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-studio-1-7-ty-1pn-2-8-ty-2pn-3-9ty-3pn-4-8ty-tai-city-pr44212299
","2,43 tỷ ","75,94 triệu/m²",32 m²,
"Quỹ căn giá tốt nhất thị trường phân khu Paris,London,Beverly,zurich cập nhật tháng 10/2025","Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","2,35 tỷ ~81,03 triệu/m²",29 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-tot-nhat-thi-truong-phan-khu-paris-london-beverly-zurich-cap-nhat-thang-10-2025-pr44277773
","2,35 tỷ ","81,03 triệu/m²",29 m²,
QUỸ CĂN MỚI NHẤT THÁNG 10/2025 - PHÂN KHU SAPPHIRE VINHOMES OCEAN PARK,"Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội","2,35 tỷ ~87,04 triệu/m²",27 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-moi-nhat-thang-10-2025-phan-khu-sapphire-park-pr44278128
","2,35 tỷ ","87,04 triệu/m²",27 m²,
"Siêu hot tôi bán 08 CH : Stu 1,76 tỷ 1PN 2,9 tỷ 2PN 3,6tỷ 2PN + 4,2 tỷ 3PN 4,95 tỷ tại Smat city","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,3 tỷ ~76,67 triệu/m²",30 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/sieu-hot-toi-ban-8ch-stu-1-76ty-1pn-2-9ty-2pn-3-6ty-2pn-4-2-ty-3pn-4-95ty-gia-ban-trong-tuan-vhsm-pr44160036
","2,3 tỷ ","76,67 triệu/m²",30 m²,
"Bán gấp căn studio tòa S302, 30.8m2, 2tỷ535 full đồ xịn, Đông Nam, Vinhomes Smart City","Dự án The Sapphire - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.","2,54 tỷ ~79,22 triệu/m²",32 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-stu-34-9m2-dttt-31-8-gia-1-55-ty-full-do-xin-dong-nam-city-pr39802787
","2,54 tỷ ","79,22 triệu/m²",32 m²,
"Em Thúy bán 09 căn hộ mới các căn studio, 1PN +, 2PN, 3PN Masteri West Heights giá từ 2 tỷ 350","Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,35 tỷ ~77,3 triệu/m²","30,4 m²",2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-masteri-west-heights/em-thuy-ban-09-moi-cac-studio-1pn-2pn-3pn-gia-tu-2-ty-350-pr43639834
","2,35 tỷ ","77,3 triệu/m²","30,4 m²",
"Hot! Bán CC tại The Zenpark, đường Đông Dư, Gia Lâm, Hà Nội, 2,65 tỷ, 26,9 m2","Dự án The Zenpark, Đường Đông Dư, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","2,65 tỷ ~98,51 triệu/m²","26,9 m²",2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dong-du-1-thi-tran-trau-quy-prj-the-zenpark/hot-ban-cc-tai-gia-lam-ha-noi-2-65-ty-26-9-m2-pr44274660
","2,65 tỷ ","98,51 triệu/m²","26,9 m²",
"E có 1000m2 đất vườn giá rẻ tại Đông Xuân, Quốc Oai Hà Nội dành cho các bác làm nhà vườn nghỉ dưỡng","Xã Đông Xuân, Quốc Oai, Hà Nội",3 tỷ ~3 triệu/m²,1.000 m² Mặt tiền 25 m,2025,"https://batdongsan.com.vn/ban-dat-xa-dong-xuan-2/e-co-1000m-vuon-gia-re-tai-quoc-oai-ha-noi-danh-cho-cac-bac-lam-nha-vuon-nghi-duong-pr44273433
",3 tỷ ,3 triệu/m²,1.000 m²,25 m
"Bán đất tại Sơn Đông - Hoà Lạc giá 3,5 tỷ, 100m2, mặt tiền 6m, pháp lý sổ đỏ, ngay khu phát triển","Xã Sơn Đông, Sơn Tây, Hà Nội","3,5 tỷ ~35 triệu/m²",100 m² Mặt tiền 6 m,2025,"https://batdongsan.com.vn/ban-dat-xa-son-dong-1/ban-tai-hoa-lac-gia-3-5-ty-100m2-mat-tien-6m-phap-ly-so-do-ngay-khu-phat-trien-pr44268748
","3,5 tỷ ",35 triệu/m²,100 m²,6 m
Cập nhật liên tục quỹ căn rẻ nhất 1PN - 2PN - 3PN The Zurich Vinhomes Ocean Park Gia Lâm,"Dự án The Zurich - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội","4,8 tỷ ~69,56 triệu/m²",69 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-da-ton-prj-the-zurich-vinhomes-ocean-park/-2pn-dien-tich-74-3m-gia-re-nhat-vinmesoceanpark-gia-lam-4-xty-lien-he-chinh-chu-pr43737880
","4,8 tỷ ","69,56 triệu/m²",69 m²,
"Cắt lỗ 300 triệu chính chủ cần bán gấp lô 100m² ngay trung tâm xã, khu dân cư đông đúc.","Đường Quốc lộ 21A(Quốc lộ 21), Xã Cổ Đông, Sơn Tây, Hà Nội",3 tỷ ~30 triệu/m²,100 m² Mặt tiền 5 m,2025,"https://batdongsan.com.vn/ban-dat-duong-quoc-lo-21a-quoc-lo-21-xa-co-dong/cat-300-trieu-chinh-chu-can-ban-gap-100m-ngay-trung-tam-khu-dan-cu-duc-pr44044275
",3 tỷ ,30 triệu/m²,100 m²,5 m
"Bán gấp căn 2PN - 2WC 64.5m2, 4.8 tỷ, tầng đẹp The Tonkin 1, Vin Smart Cỉty.","Dự án The Tonkin - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,8 tỷ ~74,42 triệu/m²","64,5 m²",2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-tonkin-vinhomes-smart-city/chinh-chu-tien-ban-gap-2pn-2wc-64-5m2-tang-dep-gia-chi-4-7-ty-pr41642081
","4,8 tỷ ","74,42 triệu/m²","64,5 m²",
"ĐẤT NỀN ĐẸP TẠI CỔ ĐÔNG, ĐƯỜNG TRƯỚC ĐẤT HƠN 8m, GIÁ CHỈ 3.x TỶ. LIÊN HỆ NGAY: E HƯỜNG 0976 232 ***","Xã Cổ Đông, Sơn Tây, Hà Nội",30 triệu/m² ~3 tỷ,100 m² Mặt tiền 5.8 m,2025,"https://batdongsan.com.vn/ban-dat-xa-co-dong/-nen-dep-tai-duong-truoc-hon-8m-gia-chi-3-x-ty-lien-he-ngay-e-huong-pr44294299
",3 tỷ,30 triệu/m² ,100 m²,5.8 m
BQL Vinhomes Smart City cập nhật quỹ căn: Studio 2tỷ; 1N+ 2.8 tỷ; 2N 3.2 tỷ; 2N+1 4tỷ; 3N 5tỷ,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,6 tỷ ~71,21 triệu/m²","64,6 m²",2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/bql-cap-nhat-quy-studio-2ty-1n-2-8-ty-2n-3-2-ty-2n-1-3-9ty-3n-4-5ty-pr43763673
","4,6 tỷ ","71,21 triệu/m²","64,6 m²",
"Tôi bán 10CH studio 1.75 tỷ, 1PN 2,9tỷ, 2PN 3.7tỷ, 2PN góc 4.4tỷ, 3PN góc 5.1tỷ Vinhomes Smart City","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,4 tỷ ~69,07 triệu/m²","63,7 m²",2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/toi-ban-10ch-studio-1-7-ty-1pn-2-6ty-2pn-3-3ty-2pn-goc-3-9ty-3pn-goc-4-42ty-city-pr43387886
","4,4 tỷ ","69,07 triệu/m²","63,7 m²",
"The Senique - CC bán căn 2PN 54,4m2 tòa 2 hướng Tây Bắc view nội khu, giá 4.5 tỷ, đã có HĐMB","Chung cư The Senique Hanoi , Dương Xá, Gia Lâm, Hà Nội","4,5 tỷ ~82,72 triệu/m²","54,4 m²",2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-chung-cu-the-senique-hanoi/-cc-ban-2pn-54m2-toa-2-huong-dong-nam-view-gia-4-3-ty-da-co-hdmb-pr43953905
","4,5 tỷ ","82,72 triệu/m²","54,4 m²",
"Bán 5 CH Studio-2 tỷ, 1Pn 3 tỷ, 2Pn 54m 3.85 tỷ, 2pn 64m 4.2 tỷ, 3pn 5 tỷ KĐT Vinhomes Smart City","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","3,9 tỷ ~72,22 triệu/m²",54 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/ban-5-ch-studio-2-ty-1pn-3-ty-2pn-54m-3-85-ty-2pn-64m-4-2-ty-3pn-5-ty-kdt-city-pr43870966
","3,9 tỷ ","72,22 triệu/m²",54 m²,
"Em Hằng gửi đến quý khách mua nhà tại Vinhomes Ocean Park 1 quỹ căn giá rẻ, tầng đẹp, view sẵn sổ","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","3,65 tỷ ~66,36 triệu/m²",55 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/em-hang-gui-den-quy-khach-mua-nha-tai-1-quy-re-tang-dep-view-san-so-pr43916626
","3,65 tỷ ","66,36 triệu/m²",55 m²,
"Ban Q.Lý Vinhomes SmartCity cập nhật quỹ căn: Studio 2tỷ; 1N + 3tỷ; 2N 4tỷ; 2N+1 4,5tỷ; 3N 5tỷ","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4 tỷ ~65,57 triệu/m²",61 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/bql-cap-nhat-quy-studio-2ty-1n-2-8-ty-2n-3-2-ty-2n-1-3-9ty-3n-4-5ty-pr43768302
",4 tỷ ,"65,57 triệu/m²",61 m²,
"CHÍNH CHỦ BÁN 10 CH Stu 1,75 tỷ 1PN 2,88tỷ 2PN 3,8 tỷ 2PN + 4,33 tỷ 3PN 5,5 tỷ tại KDT SMART CITY","The Sapphire-Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, Hà Nội","4,3 tỷ ~78,18 triệu/m²",55 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-gia-chuan-10-ch-stu-1-75-ty-1pn-2-88ty-2pn-3-8-ty-2pn-4-2-ty-3pn-5-1-ty-city-pr44165504
","4,3 tỷ ","78,18 triệu/m²",55 m²,
Quỹ Căn CHÍNH CHỦ Giá Tốt Nhất Vinhomes Ocean Park Gia Lâm - VỐN BỎ RA CHỈ HƠN 1 TỶ,"Vinhomes Ocean Park Gia Lâm, Đường Lý Thánh Tông, Xã Dương Xá, Gia Lâm, Hà Nội","3,7 tỷ ~67,27 triệu/m²",55 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ly-thanh-tong-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-chinh-chu-tot-nhat-von-bo-ra-chi-hon-1-ty-pr44266363
","3,7 tỷ ","67,27 triệu/m²",55 m²,
CC bán 5CH giá gốc không chênh Studio - 1PN - 2PN - 3PN tòa cao cấp Victoria Smart City Tây Mỗ,"Dự án The Victoria , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","3,67 tỷ ~81,56 triệu/m²",45 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-victoria-vinhomes-smart-city/cc-ban-5ch-gia-goc-khong-chenh-studio-1pn-2pn-3pn-toa-cao-cap-mo-pr44287188
","3,67 tỷ ","81,56 triệu/m²",45 m²,
"Mình chính chủ cần bán căn: 2PN + 1, 63.1m2, 4,6 tỷ tòa S, Vinhomes Smart City","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,6 tỷ ~72,9 triệu/m²","63,1 m²",2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-t6-studio-1-7-ty-1pn-2-7ty-2pn-3-3ty-2pn-3-85ty-3pn-4-7ty-city-pr43432564
","4,6 tỷ ","72,9 triệu/m²","63,1 m²",
"Cập nhật bảng giá CC tháng 10 tại Vin OCP chính chủ view đẹp, giá rẻ, đầy đủ pháp lý cần bán gấp","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","3,35 tỷ ~56,78 triệu/m²",59 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-stu-1-3pn-chinh-chu-view-dep-re-cat-lo-phap-ly-ro-rang-mien-phi-mg-tai-vin-oceanpark-pr42207226
","3,35 tỷ ","56,78 triệu/m²",59 m²,
"Bán gấp căn hộ 1PN, 1WC tại phân khu Ruby Vinhomes Ocean Park Gia Lâm, 3,9 tỷ, 53m2","Vinhomes Ocean Park Gia Lâm, Đường 179, Xã Dương Xá, Gia Lâm, Hà Nội","3,9 tỷ ~73,58 triệu/m²",53 m²,2025,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-179-1-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-gap-1pn-1wc-tai-phan-khu-ruby-vinmes-3-9-ty-53m2-pr44286113
","3,9 tỷ ","73,58 triệu/m²",53 m²,
"Cạnh Đại Học Quốc Gia Hà Nội, FPT cách công nghệ cao Hòa Lạc 500m, giá 3tỷ DT 110m gần quốc lộ 21.","Xã Thạch Hòa, Thạch Thất, Hà Nội","3 tỷ ~27,27 triệu/m²",110 m² Mặt tiền 7 m,2025,"https://batdongsan.com.vn/ban-dat-xa-thach-hoa-1/canh-dai-hoc-quoc-gia-ha-noi-dai-hoc-fpt-cach-cong-nghe-cao-lac-500m-dt-110m-gan-quoc-lo-21-pr43794066
",3 tỷ ,"27,27 triệu/m²",110 m²,7 m
